OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
055	0	L_GX012836.MP4	216	GX012836.MP4	79	0.12012		-1.00000																	SYNC		
057	0	L_GX012837.MP4	196	GX012837.MP4	90	0.10900		-1.00000																	SYNC		
058	0	L_GX010102.MP4	225	GX010103.MP4	81	0.12513		-1.00000																	SYNC		
059	0	L_GX012836.MP4	994	GX010105.MP4	416	0.55277		-1.00000																	SYNC		
060	0	L_GX012836.MP4	292	GX010104.MP4	175	0.16238		-1.00000																	SYNC		
061	0	L_GX012837.MP4	2156	GX010105.MP4	1951	1.19898		-1.00000																	SYNC		
063	0	L_GX010103.MP4	224	GX010104.MP4	94	0.12457		-1.00000	67.49364	22.25099	-1008.87047	0.65042	0.62138	2.61267	0.40426	1011.37042	4.03353								SYNC		
063	8	L_GX010103.MP4	35897	GX010104.MP4	35767	19.96272	1	16.76953	17.12004	0.30432	-2167.76017	1.32106	1.31053	11.67998	3.40917	2167.82779	0.45299	Microcanthidae	Neatypus	obliquus	37361002	5	AD	Passing			
063	10	L_GX010103.MP4	59273	GX010104.MP4	59143	32.96237	1	29.76918	-8.79663	60.94838	-1841.09187	1.12472	1.14888	8.45835	0.72452	1842.12142	1.92877	Labridae	Notolabrus	parilus	37384022	1	AD	Passing			
063	13	L_GX010103.MP4	103155	GX010104.MP4	103025	57.36564	1	54.17245	-119.38157	-109.25891	-1362.12576	0.92265	0.90835	4.68512	2.81020	1371.70553	6.76652	Monacanthidae	Meuschenia	galii	37465040	1	AD	Passing			
064	0	L_GX012838.MP4	288	GX012838.MP4	98	0.16016		-1.00000																	SYNC		
065	0	L_GX010105.MP4	132	GX010105.MP4	35	0.07341		-1.00000																	SYNC		
066	0	L_GX012837.MP4	520	GX012837.MP4	182	0.28918		-1.00000																	SYNC		
067	0	L_GX012838.MP4	272	GX012838.MP4	104	0.15126		-1.00000																	SYNC		
068	0	L_GX013143.MP4	2613	GX010106.MP4	2412	1.45312		-1.00000																	SYNC		
069	0	L_GX012839.MP4	263	GX013207.MP4	171	0.14626		-1.00000																	SYNC		
070	0	L_GX010104.MP4	284	GX010105.MP4	93	0.15794		-1.00000																	SYNC		
072	0	L_GX012838.MP4	374	GX010106.MP4	216	0.20799		-1.00000																	SYNC		
073	0	L_GX012839.MP4	303	GX010107.MP4	89	0.16850		-1.00000																	SYNC		
074	0	L_GX013084.MP4	2508	GX010108.MP4	2353	1.39473		-1.00000																	SYNC		
075	0	L_GX010105.MP4	1637	GX010106.MP4	1256	0.91035		-1.00000																	SYNC		
076	0	L_GX012840.MP4	1687	GX013208.MP4	1558	0.93816		-1.00000																	SYNC		
077	0	L_GX013144.MP4	1017	GX010107.MP4	882	0.56556		-1.00000																	SYNC		
078	0	L_GX012839.MP4	204	GX012839.MP4	86	0.11345		-1.00000																	SYNC		
079	0	L_GX012840.MP4	244	GX012840.MP4	108	0.13569		-1.00000	34.56560	21.94732	-1047.93774	0.66119	0.64431	2.79431	2.51349	1048.73732	2.38363								SYNC		
080	0	L_GX013145.MP4	234	GX010108.MP4	104	0.13013		-1.00000	55.16920	1.62305	-869.86376	0.56231	0.53586	2.02999	4.35548	871.61301	3.64671								SYNC		
081	0	L_GX012841.MP4	2129	GX013209.MP4	2005	1.18396		-1.00000																	SYNC		
082	0	L_GX010106.MP4	206	GX010107.MP4	84	0.11456		-1.00000																	SYNC		
083	0	L_GX013085.MP4	249	GX010109.MP4	85	0.13847		-1.00000	27.15728	50.07857	-899.23256	0.57340	0.56892	2.09118	5.26378	901.03528	3.36620								SYNC		
083	2	L_GX013085.MP4	7633	GX010109.MP4	7469	4.24480	1	1.45534	1940.32365	988.40248	-3119.08308	14.19554	7.68989	23.33138	3.83068	3804.00770	34.78628	Cheilodactylidae	Nemadactylus	valenciennesi	37377004	1	AD	Passing			
083	8	L_GX013085.MP4	11542	GX010109.MP4	11378	6.41863	1	3.62918	522.33190	197.53854	-936.09020	1.28484	0.74686	2.17347	1.81356	1090.00778	30.71456	Labridae	Notolabrus	parilus	37384022	1	AD	Passing			
083	9	L_GX013085.MP4	14008	GX010109.MP4	13844	7.79000	1	5.00055	-203.76742	39.80823	-598.87154	0.47340	0.38744	1.00032	3.40565	633.83987	19.06570	Monacanthidae	Meuschenia	galii	37465040	1	AD	Passing			
083	10	L_GX013085.MP4	24746	GX010109.MP4	24582	13.76153	1	10.97207	1555.63289	470.30306	-2329.26730	8.46918	3.01648	12.99398	6.63959	2840.18746	34.81900	Plesiopidae	Trachinops	noarlungae	37316017	35	AD	Passing			
