OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
043	13	0	572.17209	473.50746	419.05561	493.65672
043	14	0	249.21196	327.79851	315.64113	355.61940
043	14	1	415.22036	320.85821	465.30010	346.89552
043	15	0	202.15215	473.85821	127.40399	491.64179
043	15	1	125.68625	406.52239	37.90136	433.73881
043	16	0	247.80693	394.92537	6.04407	427.16418
043	17	0	573.43337	128.53731	656.58972	159.82090
043	17	1	656.98006	118.12687	740.00315	146.84328
043	18	0	362.93284	139.29104	463.07765	178.05224
043	18	1	438.34523	151.50746	526.69360	186.46269
043	19	0	400.90976	216.82090	250.18153	265.24627
043	19	1	662.79538	132.55970	448.97482	181.23881
043	20	0	239.74816	652.83582	207.51312	642.76119
043	21	0	658.93809	253.82090	550.00315	288.61194
043	21	1	510.26338	225.67164	426.10808	265.12687
043	22	0	423.71563	117.50000	496.07030	158.58209
043	22	1	308.10073	78.38060	395.04092	127.30597
044	0	0	1255.63270	499.12351	860.02240	529.24303
044	1	0	612.48376	390.29880	494.28859	395.56574
044	1	1	323.39082	353.41434	265.86577	353.74502
044	2	0	832.49048	165.70518	801.18792	180.49402
044	2	1	606.77156	246.29084	584.08725	259.18725
044	3	0	1046.55319	193.91235	1028.86577	206.70916
044	3	1	838.22172	288.91633	824.26846	297.74900
044	4	0	235.47816	146.41833	94.49664	184.18725
044	4	1	463.10974	143.56175	299.10738	176.87251
044	5	0	1082.02800	167.74104	1118.50336	177.54582
044	5	1	1009.79619	303.10359	1027.33557	313.66932
044	6	0	1416.68421	114.91235	1217.35570	131.54183
044	6	1	1483.95969	41.72112	1336.06711	51.74502
044	7	0	1122.68981	67.45817	949.89933	87.77291
044	7	1	1238.79283	8.39841	1027.48322	27.08765
044	8	0	213.20381	607.50996	371.71812	564.62151
044	8	1	155.15230	645.98008	325.00671	595.50598
044	9	0	723.83427	250.62550	712.52349	261.69323
044	9	1	840.47480	224.07570	806.75168	235.95618
044	10	0	109.11534	490.33466	261.91946	459.79283
044	10	1	278.99664	409.03984	398.72483	395.76892
044	11	0	76.86450	600.74900	220.70470	552.54183
044	11	1	261.34714	530.62151	384.54362	501.43825
044	12	0	107.48264	309.11952	324.79866	301.96016
044	12	1	303.45913	388.19124	498.53691	373.56175
044	13	0	433.20941	513.55777	437.31544	496.50199
044	13	1	193.49048	520.05976	220.02013	492.98008
044	14	0	315.14670	466.05976	462.63087	443.04382
044	14	1	203.83427	515.56972	367.71812	484.51793
044	15	0	331.23292	578.23506	412.70470	548.72510
044	15	1	446.07839	457.35060	500.26174	445.64542
044	16	0	255.85666	499.12351	283.48993	475.45817
044	17	0	240.85330	199.12351	296.24832	215.96016
044	17	1	641.86562	264.23108	657.36242	273.41434
044	18	0	633.97200	428.64542	484.85235	432.74900
044	18	1	275.55879	517.29482	142.87248	499.31474
044	19	0	849.82195	207.66534	447.36242	248.02390
044	19	1	362.83427	180.16733	75.43624	217.91633
044	20	0	434.92833	562.68924	522.55705	535.96414
044	20	1	361.28891	618.76892	458.93289	583.37450
044	21	0	821.33371	32.46614	848.83221	47.13944
044	21	1	635.02800	165.10757	686.44295	177.12351
044	22	0	820.80291	160.96813	875.26174	170.27490
044	22	1	986.98432	88.81275	1014.61074	99.14343
044	23	0	855.95857	195.06375	933.34899	201.72908
044	23	1	707.65286	226.35060	808.78523	231.52988
044	24	0	305.25532	401.76096	407.28859	389.85259
044	24	1	528.22844	332.46215	589.87248	331.06375
044	25	0	376.25980	512.03187	483.22148	488.36653
044	26	0	1037.36506	121.47012	1071.49664	131.31474
044	26	1	1093.53527	80.83267	1127.33557	89.05179
044	27	0	128.31579	527.14343	303.93289	491.46215
044	27	1	272.55319	427.93625	422.41611	409.58566
044	28	0	838.52184	191.47410	846.17450	210.83665
044	29	0	940.39754	47.50996	1127.62416	48.76494
044	30	0	775.27772	332.12749	604.04027	348.23108
044	30	1	1139.31579	244.82869	875.73826	270.33068
044	31	0	1264.63942	333.81673	1124.04698	357.14741
044	31	1	1541.70325	6.23108	1410.29530	10.56574
044	32	0	166.12766	433.25100	262.77181	415.91633
044	32	1	374.12206	267.72908	427.68456	274.39442
044	33	0	1157.65957	324.66932	908.41611	349.89243
044	33	1	1609.36058	89.82072	1295.90604	115.55777
044	34	0	1135.15230	59.05976	1190.77852	64.33068
044	34	1	1214.70437	25.19522	1275.34228	24.50598
044	35	0	419.07167	205.22709	159.84564	238.39442
044	35	1	726.80291	226.19920	422.20134	259.72908
045	0	0	1110.09444	489.62687	896.53725	505.74627
045	1	0	1348.64054	342.52191	1488.75168	326.05976
045	1	1	1525.24636	320.75299	1694.66443	291.18725
045	2	0	1473.65957	510.52590	1647.00671	508.21116
045	2	1	1344.69541	483.56574	1495.19463	479.32669
045	3	0	297.62822	185.78486	422.38255	223.98406
045	3	1	403.24972	214.23108	499.42953	242.13546
045	4	0	741.55543	331.04781	792.26174	336.25100
045	4	1	690.22284	322.10757	753.33557	328.66534
045	5	0	654.74692	299.07968	708.50336	309.97211
045	5	1	598.03919	284.17928	667.16107	298.05179
045	6	0	566.05711	318.58566	691.59060	329.74900
045	6	1	635.12766	305.31076	757.89933	313.76494
045	7	0	1386.23628	517.12749	1428.76510	518.74900
045	7	1	1296.20269	488.41036	1336.95302	488.13546
045	8	0	1380.53863	363.96414	1334.45638	351.83267
045	8	1	1530.23628	442.25896	1502.88591	437.85259
045	9	0	447.01568	223.50199	632.85906	243.31076
045	9	1	365.31355	155.23108	560.91275	184.52191
045	10	0	634.74502	74.19403	657.87828	96.35821
045	10	1	687.25289	65.82090	709.25289	87.09701
045	11	0	507.90031	242.63433	571.33054	264.03731
045	11	1	564.56348	262.55224	623.58657	278.50000
045	12	0	798.19622	137.10448	899.27807	143.25373
045	12	1	823.37985	161.58955	924.83945	165.45522
045	13	0	958.04932	254.94776	1060.56768	252.08209
