model,predictors,AICc,LL,mR2,cR2,RDF,n_predictors,adjAICc,deltaAICc,delta_adjAICc
bait + mean_relief + macroalgae + depth_m + (1|location),mean_relief + macroalgae + depth_m,960.807448383705,-471.6125154006437,0.11681685389497182,0.11681685680839508,92,3,966.807448383705,7.7263905709459095,11.72639057094591
bait + mean_relief + sd_relief + (1|location),mean_relief + sd_relief,962.8290993816694,-473.80585403866075,0.062485302952362244,0.062485463541833035,93,2,966.8290993816694,9.748041568910253,11.748041568910253
bait + mean_relief + sd_relief + macroalgae + (1|location),mean_relief + sd_relief + macroalgae,960.9961234453192,-471.7068529314508,0.11032247696592397,0.11032248276436132,92,3,966.9961234453192,7.915065632560072,11.915065632560072
bait + mean_relief + depth_m + (1|location),mean_relief + depth_m,963.0768752809125,-473.92974198828233,0.06276219451162836,0.06517406144487711,93,2,967.0768752809125,9.995817468153405,11.995817468153405
bait + sd_relief + (1|location),sd_relief,965.192275579361,-476.1445248864547,0.014312193175196431,0.01431220610602263,94,1,967.192275579361,12.11121776660184,12.11121776660184
bait + depth_m + (1|location),depth_m,965.2430813445404,-476.1699277690444,0.01417510774550994,0.014175126846304063,94,1,967.2430813445404,12.162023531781301,12.162023531781301
bait + mean_relief + scytothalia + macroalgae + (1|location),mean_relief + scytothalia + macroalgae,962.2413205438877,-472.32945148073503,0.09664716760352987,0.09664717371004412,92,3,968.2413205438877,9.160262731128569,13.160262731128569
bait + sd_relief + macroalgae + depth_m + (1|location),sd_relief + macroalgae + depth_m,963.2616571474064,-472.83961978249437,0.08758487554002983,0.08758487837041157,92,3,969.2616571474064,10.18059933464724,14.18059933464724
bait + scytothalia + macroalgae + depth_m + (1|location),scytothalia + macroalgae + depth_m,963.6866881468547,-473.05213528221856,0.08206111064744802,0.08206111467965645,92,3,969.6866881468547,10.605630334095622,14.605630334095622
bait + scytothalia + depth_m + (1|location),scytothalia + depth_m,965.8786685565117,-475.3306386260819,0.034130327963304875,0.034130337338426624,93,2,969.8786685565117,12.797610743752557,14.797610743752557
bait + sd_relief + scytothalia + macroalgae + (1|location),sd_relief + scytothalia + macroalgae,963.9480943167166,-473.1828383671495,0.07799932636230686,0.07799933088664003,92,3,969.9480943167166,10.867036503957479,14.867036503957479
bait + sd_relief + scytothalia + (1|location),sd_relief + scytothalia,966.0530807483842,-475.4178447220182,0.031795174927912825,0.031795180963769425,93,2,970.0530807483842,12.972022935625091,14.972022935625091
bait + mean_relief + scytothalia + depth_m + (1|location),mean_relief + scytothalia + depth_m,964.2664223419698,-473.3420023797761,0.07579675633337332,0.07579676829827117,92,3,970.2664223419698,11.185364529210688,15.185364529210688
bait + mean_relief + sd_relief + scytothalia + (1|location),mean_relief + sd_relief + scytothalia,964.3409514125044,-473.3792669150434,0.07284402109622862,0.07284402913714239,92,3,970.3409514125044,11.259893599745283,15.259893599745283
bait + mean_relief + sd_relief + depth_m + (1|location),mean_relief + sd_relief + depth_m,964.8379003756935,-473.62774139663793,0.06949688426872622,0.07351925954999441,92,3,970.8379003756935,11.756842562934366,15.756842562934366
bait + sd_relief + depth_m + (1|location),sd_relief + depth_m,967.3597576533615,-476.0711831745068,0.016259823215114794,0.01625984332783491,93,2,971.3597576533615,14.278699840602371,16.27869984060237
bait + sd_relief + scytothalia + depth_m + (1|location),sd_relief + scytothalia + depth_m,968.2054648070847,-475.31152361233353,0.03459070510299241,0.03459071344277371,92,3,974.2054648070847,15.124406994325568,19.124406994325568
