model,predictors,AICc,LL,mR2,cR2,RDF,n_predictors,adjAICc,deltaAICc,delta_adjAICc
bait + mean_relief + macroalgae + depth_m + (1|location),mean_relief + macroalgae + depth_m,960.8074483837046,-471.6125154006435,0.11681685389497348,0.11681685680839675,92,3,966.8074483837046,7.726390570944886,11.726390570944886
bait + mean_relief + sd_relief + (1|location),mean_relief + sd_relief,962.8290993816696,-473.80585403866087,0.062485302952361696,0.06248546354183298,93,2,966.8290993816696,9.748041568909912,11.748041568909912
bait + mean_relief + sd_relief + macroalgae + (1|location),mean_relief + sd_relief + macroalgae,960.9961234453195,-471.70685293145095,0.11032247696592304,0.11032248276436041,92,3,966.9961234453195,7.915065632559845,11.915065632559845
bait + mean_relief + depth_m + (1|location),mean_relief + depth_m,963.0768752809128,-473.92974198828244,0.06276219451161787,0.06517406144489096,93,2,967.0768752809128,9.995817468153064,11.995817468153064
bait + sd_relief + (1|location),sd_relief,965.1922755793622,-476.1445248864553,0.014312193175196719,0.014312206106022891,94,1,967.1922755793622,12.111217766602522,12.111217766602522
bait + depth_m + (1|location),depth_m,965.24308134454,-476.1699277690442,0.014175107745510155,0.014175126846278134,94,1,967.24308134454,12.162023531780278,12.162023531780278
bait + mean_relief + scytothalia + macroalgae + (1|location),mean_relief + scytothalia + macroalgae,962.2413205438874,-472.32945148073486,0.09664716760353013,0.09664717371004414,92,3,968.2413205438874,9.16026273112766,13.16026273112766
bait + sd_relief + macroalgae + depth_m + (1|location),sd_relief + macroalgae + depth_m,963.2616571474065,-472.8396197824944,0.08758487554000337,0.08758487837038356,92,3,969.2616571474065,10.180599334646786,14.180599334646786
bait + scytothalia + macroalgae + depth_m + (1|location),scytothalia + macroalgae + depth_m,963.6866881468547,-473.05213528221856,0.08206111064757149,0.0820611146797817,92,3,969.6866881468547,10.605630334095054,14.605630334095054
bait + scytothalia + depth_m + (1|location),scytothalia + depth_m,965.8786685565123,-475.3306386260822,0.03413032796330515,0.034130337338426894,93,2,969.8786685565123,12.797610743752557,14.797610743752557
bait + sd_relief + scytothalia + macroalgae + (1|location),sd_relief + scytothalia + macroalgae,963.9480943167168,-473.1828383671496,0.07799932636237568,0.0779993308867099,92,3,969.9480943167168,10.867036503957138,14.867036503957138
bait + sd_relief + scytothalia + (1|location),sd_relief + scytothalia,966.0530807483843,-475.41784472201823,0.031795174927913554,0.031795180963770237,93,2,970.0530807483843,12.972022935624636,14.972022935624636
bait + mean_relief + scytothalia + depth_m + (1|location),mean_relief + scytothalia + depth_m,964.2664223419703,-473.3420023797763,0.07579675633380313,0.07579676829869367,92,3,970.2664223419703,11.185364529210574,15.185364529210574
bait + mean_relief + sd_relief + scytothalia + (1|location),mean_relief + sd_relief + scytothalia,964.3409514125043,-473.37926691504333,0.07284402109622791,0.07284402913714151,92,3,970.3409514125043,11.2598935997446,15.2598935997446
bait + mean_relief + sd_relief + depth_m + (1|location),mean_relief + sd_relief + depth_m,964.8379003756933,-473.6277413966378,0.06949688426677228,0.07351925954800079,92,3,970.8379003756933,11.75684256293357,15.75684256293357
bait + sd_relief + depth_m + (1|location),sd_relief + depth_m,967.359757653361,-476.0711831745066,0.01625982321596255,0.016259843328685828,93,2,971.359757653361,14.278699840601348,16.278699840601348
bait + sd_relief + scytothalia + depth_m + (1|location),sd_relief + scytothalia + depth_m,968.2054648070854,-475.3115236123339,0.03459070510299254,0.03459071344277381,92,3,974.2054648070854,15.124406994325682,19.124406994325682
